Guid,Name,CreatedDate,LastModifiedDate,SellingModelType,PricingTerm,PricingTermUnit,Status,DoesAutoRenewAssetByDefault
38c4b4f9-3859-48f1-a637-527080cf87e7,Evergreen - Yearly,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,Evergreen,1,Annual,Active,false
64cfec02-b1ec-47eb-a2d4-8265be1b1448,Term Based - Monthly,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,TermDefined,1,Months,Active,false
755f8865-f3da-4e90-81d9-19e790723c7d,One Time,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,OneTime,#N/A,#N/A,Active,false
90fd0b7c-a626-4a8c-9af6-124309e8af6a,Term Based - Yearly,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,TermDefined,1,Annual,Active,false
99da0b79-04de-4cbb-8f23-d443d9dcf6fc,Evergreen - Monthly,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,Evergreen,1,Months,Active,false
